,Id,week,region_code,region_name,TauxGrippe
0,3239,2014-01-05,26,BOURGOGNE,0.0
1,3261,2013-12-29,26,BOURGOGNE,0.0
2,3283,2013-12-22,26,BOURGOGNE,0.0
3,3305,2013-12-15,26,BOURGOGNE,0.0
4,3327,2013-12-08,26,BOURGOGNE,4.0
5,3349,2013-12-01,26,BOURGOGNE,36.0
6,3371,2013-11-24,26,BOURGOGNE,21.0
7,3393,2013-11-17,26,BOURGOGNE,0.0
8,3415,2013-11-10,26,BOURGOGNE,0.0
9,3437,2013-11-03,26,BOURGOGNE,0.0
10,3459,2013-10-27,26,BOURGOGNE,0.0
11,3481,2013-10-20,26,BOURGOGNE,0.0
12,3503,2013-10-13,26,BOURGOGNE,0.0
13,3525,2013-10-06,26,BOURGOGNE,0.0
14,3547,2013-09-29,26,BOURGOGNE,0.0
15,3569,2013-09-22,26,BOURGOGNE,0.0
16,3591,2013-09-15,26,BOURGOGNE,32.0
17,3613,2013-09-08,26,BOURGOGNE,0.0
18,3635,2013-09-01,26,BOURGOGNE,0.0
19,3657,2013-08-25,26,BOURGOGNE,0.0
20,3679,2013-08-18,26,BOURGOGNE,0.0
21,3701,2013-08-11,26,BOURGOGNE,0.0
22,3723,2013-08-04,26,BOURGOGNE,45.0
23,3745,2013-07-28,26,BOURGOGNE,19.0
24,3767,2013-07-21,26,BOURGOGNE,0.0
25,3789,2013-07-14,26,BOURGOGNE,0.0
26,3811,2013-07-07,26,BOURGOGNE,0.0
27,3833,2013-06-30,26,BOURGOGNE,0.0
28,3855,2013-06-23,26,BOURGOGNE,14.0
29,3877,2013-06-16,26,BOURGOGNE,117.0
30,3899,2013-06-09,26,BOURGOGNE,19.0
31,3921,2013-06-02,26,BOURGOGNE,28.0
32,3943,2013-05-26,26,BOURGOGNE,0.0
33,3965,2013-05-19,26,BOURGOGNE,0.0
34,3987,2013-05-12,26,BOURGOGNE,0.0
35,4009,2013-05-05,26,BOURGOGNE,0.0
36,4031,2013-04-28,26,BOURGOGNE,0.0
37,4053,2013-04-21,26,BOURGOGNE,60.0
38,4075,2013-04-14,26,BOURGOGNE,15.0
39,4097,2013-04-07,26,BOURGOGNE,17.0
40,4119,2013-03-31,26,BOURGOGNE,26.0
41,4141,2013-03-24,26,BOURGOGNE,14.0
42,4163,2013-03-17,26,BOURGOGNE,83.0
43,4185,2013-03-10,26,BOURGOGNE,229.0
44,4207,2013-03-03,26,BOURGOGNE,173.0
45,4229,2013-02-24,26,BOURGOGNE,522.0
46,4251,2013-02-17,26,BOURGOGNE,408.0
47,4273,2013-02-10,26,BOURGOGNE,526.0
48,4295,2013-02-03,26,BOURGOGNE,457.0
49,4317,2013-01-27,26,BOURGOGNE,203.0
50,4339,2013-01-20,26,BOURGOGNE,155.0
51,4361,2013-01-13,26,BOURGOGNE,105.0
52,4383,2012-12-30,26,BOURGOGNE,74.0
53,4405,2012-12-23,26,BOURGOGNE,24.0
54,4427,2012-12-16,26,BOURGOGNE,0.0
55,4449,2012-12-09,26,BOURGOGNE,0.0
56,4471,2012-12-02,26,BOURGOGNE,0.0
57,4493,2012-11-25,26,BOURGOGNE,28.0
58,4515,2012-11-18,26,BOURGOGNE,0.0
59,4537,2012-11-11,26,BOURGOGNE,0.0
60,4559,2012-11-04,26,BOURGOGNE,0.0
